model,cv_roc_auc_mean,cv_roc_auc_std,test_roc_auc,test_average_precision,accuracy_at_0_50,precision_at_0_50,recall_at_0_50,f1_at_0_50
Random Forest + Feature Selection,0.5394026191727809,0.03544878090296815,0.6324589660990949,0.2991467671772873,0.68,0.27450980392156865,0.34146341463414637,0.30434782608695654
Gradient Boosting,0.5644759545659598,0.03942555194200904,0.5752416014726185,0.2594862076090763,0.795,0.5,0.07317073170731707,0.1276595744680851
Random Forest,0.582473033266971,0.04442959975542516,0.5658843380886639,0.2415940250205299,0.665,0.19047619047619047,0.1951219512195122,0.1927710843373494
Logistic Regression,0.5623592477742484,0.03500561382950878,0.5582144500690289,0.21965677448143694,0.545,0.20238095238095238,0.4146341463414634,0.272
